seqname,tax_id
OOO02385.1_USCg_Edwards,USCg
EU444855_287_2_18,Methylococcaceae_pmoA
EU444869_269_2_15,Methylococcaceae_pmoA
EU444871_268_1_18,Methylococcaceae_pmoA
AB302948.3_1274_2_36,Methylococcaceae_pmoA
H035DRAFT_scaffold00001.1_377_2524614657,Methylococcaceae_pmoA
NZ_JYNS01000018_70704_6_1298,Methylococcaceae_pmoA
contig_97852_71_2_11_Singleton,Methylococcaceae_pmoA
NZ_AUKJ01000010_1279_4_35,Methylococcaceae_pmoA
WP_054774741.1_Bay,Methylococcaceae_pmoA
JC06DRAFT_unitig_0_quiver.5_2564_2593339134,Methylococcaceae_pmoA
AB900159_1_1_8,Methylococcaceae_pmoA
MetszDRAFT_MSL.1_1625_2508501066,Methylococcaceae_pmoA
EU444873_217_1_16,Methylococcaceae_pmoA
EU444861_224_2_14,Methylococcaceae_pmoA
EU444864_231_3_12,Methylococcaceae_pmoA
EU444874_247_1_12,Methylococcaceae_pmoA
EU444858_232_1_12,Methylococcaceae_pmoA
EU444863_234_3_13,Methylococcaceae_pmoA
EU444872_276_3_15,Methylococcaceae_pmoA
AB453965_1332_3_28,Methylococcaceae_pmoA
EU444853_233_2_13,Methylococcaceae_pmoA
KF484908_389_2_15,Methylococcaceae_pmoA
EU444851_166_1_14,Methylococcaceae_pmoA
EU444862_229_1_15,Methylococcaceae_pmoA
NZ_JPON01000001_2099673_6_37138,Methylococcaceae_pmoA
contig_605842_111_3_14_Singleton,Methylococcaceae_pmoA
U737DRAFT_scaffold00022.22_64_2561511042,Methylococcaceae_pmoA
WP_066986567.1_Bay,Methylococcaceae_pmoA
MetmaDRAFT_scaffold1.1_1154_2517287034,Methylococcaceae_pmoA
NZ_JQNS01000005_947357_2_16203,Methylococcaceae_pmoA
MFD_contig_22098_61654_4_1110,Methylococcaceae_pmoA
contig_208593_192_3_14_Singleton,Methylococcaceae_pmoA
MFD_contig_108924_7962_3_133,Methylococcaceae_pmoA
MFD_contig_108924_5490_3_98,Methylococcaceae_pmoA
MFD_contig_24432_12837_6_211,Methylococcaceae_pmoA
T449DRAFT_scf7180000000004_quiver.1_2847_2574179704,Methylococcaceae_pmoA
FO082060_519_2540341096,Methylococcaceae_pmoA
LAJX01000232_470_2_16,Methylococcaceae_pmoA
AB501288_2888_2_56,Methylococcaceae_pmoA
WP_088620576.1_Bay,Methylococcaceae_pmoA
MFD_contig_177712_18223_4_301,Methylococcaceae_pmoA
A3OWDRAFT_scaffold1.1_3416_2517487019,Methylococcaceae_pmoA
MetlaDRAFT_chromosome1.1_2409_2517093044,Methylococcaceae_pmoA
contig_757486_156_6_14_Singleton,Methylococcaceae_pmoA
MKO_MKO1_c77.74_40_2528768019,Methylococcaceae_pmoA
contig_2082517_952_4_33_Singleton,Methylococcaceae_pmoA
NC_013960_642_646564556,Nitrosococcus
WP_096527389.1_Bay,Nitrosococcus
AF153344_554_2_23,Nitrosococcus
NC_014315_601_648028046,Nitrosococcus
NC_007484_2399_637000194,Nitrosococcus
NZ_DS995300_1931_647533188,Nitrosococcus
AVFK01000047_13221_3_224,Hyphomicrobiaceae_pmoA
contig_916268_849_3_32_Singleton,Hyphomicrobiaceae_pmoA
MFD_contig_4698_47168_5_815,Hyphomicrobiaceae_pmoA
MFD_contig_129107_1197_3_39,Hyphomicrobiaceae_pmoA
MFD_contig_19951_40309_4_752,Hyphomicrobiaceae_pmoA
contig_851488_106_1_14_Singleton,Hyphomicrobiaceae_pmoA
WSSedB1C_100190962_He,Hyphomicrobiaceae_pmoA
WSSedL2T_0026241_He,Hyphomicrobiaceae_pmoA
contig_489961_244_4_18_Singleton,Hyphomicrobiaceae_pmoA
contig_64624_10895_2_198_Singleton,Hyphomicrobiaceae_pmoA
contig_3677870_1_4_10_Singleton,Hyphomicrobiaceae_pmoA
contig_422177_98_2_12_Singleton,Hyphomicrobiaceae_pmoA
DL86DRAFT_scaffold00018.18_2_2574180437,Beijerinckiaceae_pmoA
MetacDRAFT_Scaffold1.2_3567_2510065046,Beijerinckiaceae_pmoA
QBR71547.1_Methylocapsa_gorgona_Tveit,USCa
4530050.3_contig25620_LAU,USCa
MFD_contig_12495_115212_3_1614,USCa
contig_24605_257_5_19_Singleton,USCa
contig_5853_1275_3_37_Singleton,USCa
MFD_contig_11347_106005_6_2001,USCa
MFD_contig_7045_114421_4_2154,USCa
MFD_contig_25_2451192_3_45587,USCa
MFD_contig_82535_1918_1_50,USCa
CAJ01563.1_Ricke,USCa
MFD_contig_13464_83794_1_1575,USCa
MFD_contig_69196_60_6_24,USCa
MFD_contig_25_4510067_2_83993,USCa
MFD_contig_3522_139912_1_2537,USCa
MFD_contig_14932_118079_2_2073,USCa
MFD_contig_25912_164405_2_3020,USCa
MFD_contig_27270_168492_3_3099,USCa
MFD_contig_20650_60352_4_1096,USCa
MFD_contig_2459_329020_1_5843,USCa
MFD_contig_24601_85124_5_1535,USCa
contig_258_PROKKA_02857_U_3423_Singleton,Methylocystaceae_pmoA1
MFD_contig_77694_12480_6_207,Methylocystaceae_pmoA1
MettrDRAFT_Contig106_383_2507262027,Methylocystaceae_pmoA1
WP_085772257.1_Bay,Methylocystaceae_pmoA1
contig_23297_1_1_15_Singleton,Methylocystaceae_pmoA1
MFD_contig_19993_1541_5_42,Methylocystaceae_pmoA1
contig_6958704_59_2_14_Singleton,Methylocystaceae_pmoA1
O5ODRAFT_AJTV01000081_1.81_2_2548876819,Methylocystaceae_pmoA1
MFD_contig_3239_126616_1_2244,Methylocystaceae_pmoA1
MFD_contig_45997_51170_5_951,Methylocystaceae_pmoA1
contig_163105_137_5_17_Singleton,Methylocystaceae_pmoA1
contig_10913_1799_5_43_Singleton,Methylocystaceae_pmoA1
MFD_contig_12912_14531_5_281,Methylocystaceae_pmoA1
MFD_contig_9302_10429_4_198,Methylocystaceae_pmoA1
contig_27838_238_4_14_Singleton,Methylocystaceae_pmoA1
contig_777_193_1_14_Singleton,Methylocystaceae_pmoA1
contig_51179_282_6_14_Singleton,Methylocystaceae_pmoA1
contig_48420_13_1_8_Singleton,Methylocystaceae_pmoA1
contig_64378_1496_5_35_Singleton,Methylocystaceae_pmoA1
O5ODRAFT_AJTV01000045_1.45_27_2548876819,Methylocystaceae_pmoA2
HE956757_215_2540341127,Methylocystaceae_pmoA2
MFD_contig_64312_14284_4_263,Methylocystaceae_pmoA2
contig_70_PROKKA_00666_U_3423_Singleton,Methylocystaceae_pmoA2
MFD_contig_3184_25530_3_443,Methylocystaceae_pmoA2
K369DRAFT_unitig_20_quiver.5_539_2582581241,Methylocystaceae_pmoA2
METLW3DRAFT_contig1.1_1609_2517093011,Methylocystaceae_pmoA2
MetLW4DRAFT_scaffold1.1_1840_2516493024,Methylocystaceae_pmoA2
WP_085772041.1_Bay,Methylocystaceae_pmoA2
contig_55017_936_6_32_Singleton,Methylocystaceae_pmoA2
contig_120564_20_2_13_Singleton,Methylocystaceae_pmoA2
contig_2812_22259_5_374_Singleton,Methylocystaceae_pmoA2
contig_101059_262_4_20_Singleton,Methylocystaceae_pmoA2
contig_64921_4881_6_95_Singleton,Methylocystaceae_pmoA2
MFD_contig_25603_192819_3_3298,Methylocystaceae_pmoA2
contig_203568_1182_3_29_Singleton,Methylocystaceae_pmoA2
contig_30806_1_1_9_Singleton,Methylocystaceae_pmoA2
MFD_contig_2467_81437_2_1322,Methylocystaceae_pmoA2
MFD_contig_864_35271_6_629,Methylocystaceae_pmoA2
MKO_MKO1_c167.152_7_2528768019,pxmA
G006DRAFT_scaffold00001.1_652_2522125151,pxmA
contig_371277_733_4_27_Singleton,pxmA
WP_087142540.1_Bay,pxmA
NZ_AYLO01000115_2318_2_56,pxmA
contig_3115562_1_4_11_Singleton,pxmA
CM001475_1606073_5_27217,Methylococcaceae_pxmA
MetmaDRAFT_scaffold1.1_2545_2517287034,Methylococcaceae_pxmA
MetluDRAFT_scaffold1.1_997_2517287033,Methylococcaceae_pxmA
MFD_contig_4718_372698_5_6418,Methylococcaceae_pxmA
JTDD01000035_9_2599185159,Methylococcaceae_pxmA
WP_064037876.1_Bay,Methylococcaceae_pxmA
EU722432.2_1537_1_45,Methylococcaceae_pxmA
WP_054761692.1_Bay,Methylococcaceae_pxmA
G006DRAFT_scaffold00001.1_2890_2522125151,Methylococcaceae_pxmA
scaffold1_3085_2516143012,Methylococcaceae_pxmA
MFD_contig_121522_3619_1_74,Methylococcaceae_pxmA
MFD_contig_61604_224_2_18,Methylococcaceae_pxmA
JH109152_1097121_3_18697,Methylococcaceae_pxmA
NZ_JPOH01000001_5012098_4_85796,Methylococcaceae_pxmA
MFD_contig_8086_11643_6_231,Methylococcaceae_pxmA
contig_18132_7725_3_129_Singleton,Methylococcaceae_pxmA
contig_398664_2020_1_47_Singleton,Methylococcaceae_pxmA
MFD_contig_29271_5505_3_125,Methylococcaceae_pxmA
MFD_contig_61615_953_5_35,Methylococcaceae_pxmA
MFD_contig_9171_953_5_30,Methylococcaceae_pxmA
JC06DRAFT_unitig_1_quiver.4_122_2593339134,pxmA
NZ_JYNS01000012_120960_3_2133,pxmA
MFD_contig_110484_11663_5_235,Alphaproteobacteria_pxmA
MFD_contig_28674_10841_2_212,Alphaproteobacteria_pxmA
MFD_contig_3301_1521_3_40,Alphaproteobacteria_pxmA
MFD_contig_3075_16505_5_322,Alphaproteobacteria_pxmA
contig_68372_983_2_33_Singleton,Alphaproteobacteria_pxmA
contig_234092_1502_5_41_Singleton,Alphaproteobacteria_pxmA
contig_89492_3802_4_80_Singleton,Alphaproteobacteria_pxmA
MFD_contig_179689_6298_1_130,Alphaproteobacteria_pxmA
FJ210312_3_3_10,Alphaproteobacteria_pxmA
MFD_contig_10166_211445_5_3596,Alphaproteobacteria_pxmA
MFD_contig_33873_432765_6_6810,Alphaproteobacteria_pxmA
MFD_contig_100574_2060_2_57,Alphaproteobacteria_pxmA
MFD_contig_2459_3922523_5_69916,Alphaproteobacteria_pxmA
MFD_contig_19239_92788_1_1757,Alphaproteobacteria_pxmA
MFD_contig_13569_30763_4_596,Alphaproteobacteria_pxmA
MFD_contig_7028_83423_2_1595,Alphaproteobacteria_pxmA
contig_77803_2_5_10_Singleton,Alphaproteobacteria_pxmA
MFD_contig_23012_34424_2_665,Alphaproteobacteria_pxmA
MFD_contig_13050_1_1_14,Alphaproteobacteria_pxmA
MFD_contig_49595_9790_1_192,Alphaproteobacteria_pxmA
MFD_contig_21404_7716_3_144,Alphaproteobacteria_pxmA
MFD_contig_36791_17911_4_357,Alphaproteobacteria_pxmA
MFD_contig_49018_105928_4_1948,Alphaproteobacteria_pxmA
FJ210325_3_3_14,Homologous_MO
MFD_contig_142_31775_5_625,Homologous_MO
K288DRAFT_scaffold00087.87_6_2524023210,Homologous_MO
WP_157337042.1_Bay,Homologous_MO
EU444837_193_1_20,Homologous_MO
Ga0063159_NODE_11_len_46746_cov_1948_89_ID_2079.63_29_2599185293,Homologous_MO
AB453960_1127_2_33,Homologous_MO
AB453962_1268_2_37,Homologous_MO
AB453961_1558_1_37,Homologous_MO
AB453963_2151_3_48,Homologous_MO
BAM38053.1_Bay,Homologous_MO
contig_243558_2436_3_61_Singleton,Homologous_MO
7595555_PROKKA_01319_U_1654,Homologous_MO
7595635_PROKKA_00732_U_1654,Homologous_MO
contig_425575_92_2_21_Singleton,Nitrospira_clade_B
SRR3311145_clade_B_contig_2094_6_61,Nitrospira_clade_B
SRR3311162_clade_B_contig_45653_139_1_18,Nitrospira_clade_B
MFD_contig_43868_50028_3_959,Nitrospira_clade_B
contig_6674182_581_5_22_Singleton,Nitrospira_clade_B
wolf_Nitrospira3_01220,Nitrospira_clade_B
MFD_contig_23571_614714_2_11725,Nitrospira_clade_B
wolf_Nitrospira8_02380_clade_B,Nitrospira_clade_B
wolf_Nitrospira4_03085,Nitrospira_clade_B
wolf_Nitrospira5_00340,Nitrospira_clade_B
SRR3311162_clade_A_contig_4227_20861_5_430,Nitrospira_clade_A
U_67894_SRX806390_clade_A_contig_74_269043_6_4932,Nitrospira_clade_A
contig_12204581_246_3_20_Singleton,Nitrospira_clade_A
Nitrospira_sp_Ga0074138_clade_A,Nitrospira_clade_A
Nitrospira_sp_2_03349,Nitrospira_clade_A
wolf_Nitrospira5_02959_clade_A,Nitrospira_clade_A
Nitrospira_sp_ENR4_01764,Nitrospira_clade_A
U_67895_SRX806390_clade_A_contig_1506_13197_6_275,Nitrospira_clade_A
Nitrospira_sp_1_00067,Nitrospira_clade_A
U_77444_SRX242881_clade_A_contig_428_300_3_25,Nitrospira_clade_A
NC_008344_2007_637000196,Betaproteobacteria_amoA
NC_004757_1029645_6_18515,Betaproteobacteria_amoA
NC_004757_916_637000195,Betaproteobacteria_amoA
G345DRAFT_scf7180000000008_quiver.2_902_2588253501,Betaproteobacteria_amoA
NC_015222_618_650716066,Betaproteobacteria_amoA
WP_096291609.1_Bay,Betaproteobacteria_amoA
NC_015731_449_650716067,Betaproteobacteria_amoA
WP_090631836.1_Bay,Betaproteobacteria_amoA
AF032438_275_2_18,Betaproteobacteria_amoA
contig_3232_1893_6_48_Singleton,Betaproteobacteria_amoA
WP_074798855.1_Bay,Betaproteobacteria_amoA
AF006692_1_1_10,Betaproteobacteria_amoA
F822DRAFT_unitig_0_quiver_dupTrim_8202.1_879_2585428181,Betaproteobacteria_amoA
AJ317948_1_1_8,Betaproteobacteria_amoA
WP_090828443.1_Bay,Betaproteobacteria_amoA
WP_074974981.1_Bay,Betaproteobacteria_amoA
X90822_1_1_9,Betaproteobacteria_amoA
Ga0039977_1192_1_2600255026,Betaproteobacteria_amoA
JQ955311_1_1_10,Betaproteobacteria_amoA
JQ955435_1_1_9,Betaproteobacteria_amoA
MFD_contig_17765_5172_3_105,Betaproteobacteria_amoA
MFD_contig_50791_6058_1_127,Betaproteobacteria_amoA
contig_74_PROKKA_01029_U_109_Singleton,Betaproteobacteria_amoA
